Record_Type,Hospital_ID,Hospital_Name,Product_ID,Product_Name,Product_Category,Usage_Family,Movement_Date,Movement_Qty,Current_Stock,Expiry_Date,Consignment_Start_Date
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2025-07-23,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2025-09-03,1,,,2025-04-17
inventory,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,,,24,2026-09-28,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2024-12-10,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-06-12,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2024-10-28,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2024-10-24,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-10-28,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-07-31,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-11-09,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2024-10-09,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-06-17,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-05-04,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-07-11,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-10-23,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-08-09,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-02-08,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2024-11-23,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-06-17,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-08-09,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2024-12-25,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-03-15,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-05-07,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2024-12-31,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-04-05,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-09-13,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-07-13,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-09-15,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-07-22,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2024-11-09,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-02-11,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-02-23,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-07-14,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2024-11-08,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-01-30,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-04-20,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-01-31,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-05-05,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-05-24,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-08-05,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-09-16,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-03-10,1,,,2024-09-16
movement,H001,General Hospital North,DK-102,Rapid Test Kit 3,Diagnostic Kits,high,2025-03-18,1,,,2024-09-16
inventory,H001,General Hospital North,DK-103,Calibration Kit 4,Diagnostic Kits,low,,,3,2026-04-17,2025-03-25
movement,H001,General Hospital North,DK-103,Calibration Kit 4,Diagnostic Kits,low,2024-10-16,1,,,2025-03-25
movement,H001,General Hospital North,DK-103,Calibration Kit 4,Diagnostic Kits,low,2024-12-12,1,,,2025-03-25
movement,H001,General Hospital North,DK-103,Calibration Kit 4,Diagnostic Kits,low,2025-04-23,1,,,2025-03-25
movement,H001,General Hospital North,DK-103,Calibration Kit 4,Diagnostic Kits,low,2025-01-24,1,,,2025-03-25
movement,H001,General Hospital North,DK-103,Calibration Kit 4,Diagnostic Kits,low,2025-10-24,1,,,2025-03-25
inventory,H001,General Hospital North,DK-104,Sample Collection Kit 5,Diagnostic Kits,medium,,,24,2027-04-19,2024-10-25
movement,H001,General Hospital North,DK-104,Sample Collection Kit 5,Diagnostic Kits,medium,2024-12-12,1,,,2024-10-25
movement,H001,General Hospital North,DK-104,Sample Collection Kit 5,Diagnostic Kits,medium,2024-11-21,1,,,2024-10-25
movement,H001,General Hospital North,DK-104,Sample Collection Kit 5,Diagnostic Kits,medium,2025-09-28,1,,,2024-10-25
movement,H001,General Hospital North,DK-104,Sample Collection Kit 5,Diagnostic Kits,medium,2024-12-11,1,,,2024-10-25
movement,H001,General Hospital North,DK-104,Sample Collection Kit 5,Diagnostic Kits,medium,2025-02-24,1,,,2024-10-25
movement,H001,General Hospital North,DK-104,Sample Collection Kit 5,Diagnostic Kits,medium,2024-11-06,1,,,2024-10-25
movement,H001,General Hospital North,DK-104,Sample Collection Kit 5,Diagnostic Kits,medium,2025-07-12,1,,,2024-10-25
movement,H001,General Hospital North,DK-104,Sample Collection Kit 5,Diagnostic Kits,medium,2024-10-28,1,,,2024-10-25
movement,H001,General Hospital North,DK-104,Sample Collection Kit 5,Diagnostic Kits,medium,2025-01-01,1,,,2024-10-25
movement,H001,General Hospital North,DK-104,Sample Collection Kit 5,Diagnostic Kits,medium,2025-06-04,1,,,2024-10-25
movement,H001,General Hospital North,DK-104,Sample Collection Kit 5,Diagnostic Kits,medium,2025-09-29,1,,,2024-10-25
movement,H001,General Hospital North,DK-104,Sample Collection Kit 5,Diagnostic Kits,medium,2025-06-28,1,,,2024-10-25
movement,H001,General Hospital North,DK-104,Sample Collection Kit 5,Diagnostic Kits,medium,2025-04-17,1,,,2024-10-25
movement,H001,General Hospital North,DK-104,Sample Collection Kit 5,Diagnostic Kits,medium,2025-09-06,1,,,2024-10-25
inventory,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,,,0,2026-09-21,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-01-09,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-06-26,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-01-02,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-03-11,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-01-18,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-08-16,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-09-08,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-05-18,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2024-10-31,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-09-04,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-02-22,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2024-10-23,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-02-27,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-11-25,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-01-23,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-06-13,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-03-20,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-11-16,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-09-29,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-05-24,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2024-10-08,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-06-21,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-07-26,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-10-27,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-07-25,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-02-08,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-10-16,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-10-13,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2024-11-16,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-03-22,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2024-10-04,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-10-21,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2024-11-01,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-02-26,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2024-10-29,1,,,2024-09-20
movement,H001,General Hospital North,DK-105,Infection Marker Kit 6,Diagnostic Kits,high,2025-09-22,1,,,2024-09-20
inventory,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,,,30,2027-07-11,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-08-09,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-02-22,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2024-11-04,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2024-11-17,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2024-12-07,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-08-15,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2024-11-25,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-06-19,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-05-05,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2024-12-17,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2024-12-28,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-05-18,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-04-15,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-03-06,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-04-08,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-09-25,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-07-22,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-08-02,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-10-24,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-06-05,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-11-15,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-01-28,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-02-15,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-07-31,1,,,2025-03-06
movement,H001,General Hospital North,DK-106,Infection Marker Kit 7,Diagnostic Kits,high,2025-01-28,1,,,2025-03-06
inventory,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,,,0,2026-03-08,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-10-22,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-11-09,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-06-09,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-10-20,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-03-07,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-07-27,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-07-06,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2024-12-18,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-03-22,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-08-08,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-02-22,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-09-19,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2024-11-20,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-02-06,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-02-03,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-03-28,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-07-24,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2024-10-20,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-03-28,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2024-10-08,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-05-01,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-08-20,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-10-08,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-10-07,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2024-12-23,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-04-19,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-05-28,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-04-23,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-04-29,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-03-31,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2024-11-17,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-10-29,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2024-12-16,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2024-12-26,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2024-12-30,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-10-06,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-10-25,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-05-03,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2024-11-18,1,,,2025-01-18
movement,H001,General Hospital North,DK-107,Infection Marker Kit 8,Diagnostic Kits,high,2025-06-05,1,,,2025-01-18
inventory,H001,General Hospital North,DK-108,Calibration Kit 9,Diagnostic Kits,low,,,15,2026-07-10,2025-03-16
movement,H001,General Hospital North,DK-108,Calibration Kit 9,Diagnostic Kits,low,2025-09-15,1,,,2025-03-16
movement,H001,General Hospital North,DK-108,Calibration Kit 9,Diagnostic Kits,low,2025-04-23,1,,,2025-03-16
movement,H001,General Hospital North,DK-108,Calibration Kit 9,Diagnostic Kits,low,2025-08-24,1,,,2025-03-16
movement,H001,General Hospital North,DK-108,Calibration Kit 9,Diagnostic Kits,low,2025-07-06,1,,,2025-03-16
movement,H001,General Hospital North,DK-108,Calibration Kit 9,Diagnostic Kits,low,2025-04-03,1,,,2025-03-16
movement,H001,General Hospital North,DK-108,Calibration Kit 9,Diagnostic Kits,low,2025-07-21,1,,,2025-03-16
movement,H001,General Hospital North,DK-108,Calibration Kit 9,Diagnostic Kits,low,2025-10-18,1,,,2025-03-16
movement,H001,General Hospital North,DK-108,Calibration Kit 9,Diagnostic Kits,low,2025-04-13,1,,,2025-03-16
movement,H001,General Hospital North,DK-108,Calibration Kit 9,Diagnostic Kits,low,2024-10-08,1,,,2025-03-16
movement,H001,General Hospital North,DK-108,Calibration Kit 9,Diagnostic Kits,low,2025-02-17,1,,,2025-03-16
inventory,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,,,3,2027-07-02,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2025-09-01,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2025-05-01,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2025-03-22,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2025-03-24,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2025-08-08,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2025-05-04,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2025-10-26,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2025-09-02,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2025-05-15,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2025-11-24,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2025-05-10,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2025-07-13,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2024-10-20,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2024-10-20,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2025-04-07,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2025-07-02,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2025-04-23,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2024-12-04,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2024-11-16,1,,,2025-03-21
movement,H001,General Hospital North,DK-109,Rapid Test Kit 10,Diagnostic Kits,high,2024-10-20,1,,,2025-03-21
inventory,H001,General Hospital North,DK-110,Calibration Kit 11,Diagnostic Kits,low,,,31,2026-06-02,2024-07-30
