Hospital_ID,Hospital_Name,Product_ID,Product_Name,Product_Category,Usage_Family,Record_Type,Current_Stock,Expiry_Date,Consignment_Start_Date,Movement_Date,Movement_Qty
H001,City Hospital,P021,PCR Panel 21,Diagnostic Kits,high,inventory,13,2026-09-21,2025-02-13,,
H001,City Hospital,P022,Sample Prep Kit 22,Diagnostic Kits,high,inventory,44,2026-07-06,2025-04-22,,
H001,City Hospital,P023,Reagent Cartridge 23,Diagnostic Kits,medium,inventory,49,2026-04-18,2025-07-16,,
H001,City Hospital,P024,RNA Extraction Kit 24,Diagnostic Kits,high,inventory,31,2026-04-03,2025-08-22,,
H001,City Hospital,P025,Control Kit 25,Diagnostic Kits,medium,inventory,5,2026-08-04,2025-03-10,,
H001,City Hospital,P026,PCR Panel 26,Diagnostic Kits,medium,inventory,47,2026-05-09,2025-06-23,,
H001,City Hospital,P027,Sample Prep Kit 27,Diagnostic Kits,high,inventory,48,2026-04-16,2025-06-06,,
H001,City Hospital,P028,RNA Extraction Kit 28,Diagnostic Kits,high,inventory,44,2026-08-24,2025-07-21,,
H001,City Hospital,P029,Sample Prep Kit 29,Diagnostic Kits,medium,inventory,29,2026-07-24,2024-12-28,,
H001,City Hospital,P030,Calibration Kit 30,Diagnostic Kits,high,inventory,47,2026-07-13,2025-06-23,,
H001,City Hospital,P031,Rapid Test 31,Diagnostic Kits,medium,inventory,13,2026-09-25,2025-02-08,,
H001,City Hospital,P032,RNA Extraction Kit 32,Diagnostic Kits,low,inventory,15,2026-05-03,2025-05-13,,
H001,City Hospital,P033,Molecular Assay 33,Diagnostic Kits,high,inventory,12,2026-03-30,2025-08-13,,
H001,City Hospital,P034,PCR Panel 34,Diagnostic Kits,medium,inventory,5,2026-06-03,2025-05-22,,
H001,City Hospital,P035,RNA Extraction Kit 35,Diagnostic Kits,high,inventory,21,2026-01-14,2025-01-14,,
H001,City Hospital,P036,PCR Panel 36,Diagnostic Kits,low,inventory,21,2026-03-16,2025-05-23,,
H001,City Hospital,P037,Control Kit 37,Diagnostic Kits,low,inventory,30,2026-10-26,2025-05-29,,
H001,City Hospital,P038,Molecular Assay 38,Diagnostic Kits,high,inventory,37,2026-11-10,2025-08-23,,
H001,City Hospital,P039,Calibration Kit 39,Diagnostic Kits,medium,inventory,5,2026-11-02,2025-08-05,,
H001,City Hospital,P040,Rapid Test 40,Diagnostic Kits,high,inventory,45,2026-03-17,2025-08-20,,
H001,City Hospital,P041,Rapid Test 41,Diagnostic Kits,high,inventory,10,2026-05-10,2025-05-22,,
H001,City Hospital,P042,Control Kit 42,Diagnostic Kits,high,inventory,26,2026-07-05,2025-06-03,,
H001,City Hospital,P043,Rapid Test 43,Diagnostic Kits,high,inventory,4,2026-08-03,2025-02-18,,
H001,City Hospital,P044,PCR Panel 44,Diagnostic Kits,low,inventory,18,2026-03-02,2025-08-20,,
H001,City Hospital,P045,Control Kit 45,Diagnostic Kits,high,inventory,31,2026-03-01,2025-04-10,,
H001,City Hospital,P046,Control Kit 46,Diagnostic Kits,high,inventory,27,2026-02-14,2025-04-19,,
H001,City Hospital,P047,Molecular Assay 47,Diagnostic Kits,high,inventory,4,2026-11-16,2024-12-28,,
H001,City Hospital,P048,Calibration Kit 48,Diagnostic Kits,medium,inventory,28,2026-10-05,2025-06-15,,
H001,City Hospital,P049,Reagent Cartridge 49,Diagnostic Kits,high,inventory,35,2026-06-03,2025-04-19,,
H001,City Hospital,P050,Calibration Kit 50,Diagnostic Kits,low,inventory,18,2026-08-27,2025-02-27,,
H002,Green Valley,P001,RNA Extraction Kit 1,Diagnostic Kits,high,inventory,17,2026-08-19,2025-07-22,,
H002,Green Valley,P002,Reagent Cartridge 2,Diagnostic Kits,medium,inventory,10,2026-10-24,2025-05-12,,
H002,Green Valley,P003,Sample Prep Kit 3,Diagnostic Kits,medium,inventory,44,2026-03-24,2025-02-23,,
H002,Green Valley,P004,Molecular Assay 4,Diagnostic Kits,low,inventory,40,2026-05-03,2025-05-07,,
H002,Green Valley,P005,Reagent Cartridge 5,Diagnostic Kits,high,inventory,24,2026-07-25,2025-04-28,,
H002,Green Valley,P006,Control Kit 6,Diagnostic Kits,high,inventory,34,2026-04-15,2025-02-02,,
H002,Green Valley,P007,Reagent Cartridge 7,Diagnostic Kits,high,inventory,5,2026-09-30,2025-06-01,,
H002,Green Valley,P008,Rapid Test 8,Diagnostic Kits,medium,inventory,23,2026-11-23,2025-07-25,,
H002,Green Valley,P009,RNA Extraction Kit 9,Diagnostic Kits,high,inventory,28,2026-04-06,2025-07-25,,
H002,Green Valley,P010,Sample Prep Kit 10,Diagnostic Kits,high,inventory,33,2025-12-27,2025-04-19,,
H002,Green Valley,P011,Control Kit 11,Diagnostic Kits,medium,inventory,26,2026-05-10,2025-06-09,,
H002,Green Valley,P012,Rapid Test 12,Diagnostic Kits,medium,inventory,35,2026-06-26,2024-12-11,,
H002,Green Valley,P013,RNA Extraction Kit 13,Diagnostic Kits,low,inventory,44,2026-08-20,2025-05-19,,
H002,Green Valley,P014,Molecular Assay 14,Diagnostic Kits,high,inventory,15,2026-07-24,2025-08-03,,
H002,Green Valley,P015,Rapid Test 15,Diagnostic Kits,high,inventory,26,2026-04-07,2025-03-31,,
H002,Green Valley,P016,Sample Prep Kit 16,Diagnostic Kits,medium,inventory,33,2026-10-27,2025-03-23,,
H002,Green Valley,P017,Control Kit 17,Diagnostic Kits,medium,inventory,18,2026-10-04,2025-06-25,,
H002,Green Valley,P018,Reagent Cartridge 18,Diagnostic Kits,medium,inventory,36,2026-02-15,2025-02-11,,
H002,Green Valley,P019,Sample Prep Kit 19,Diagnostic Kits,low,inventory,30,2026-05-02,2025-01-18,,
H002,Green Valley,P020,Calibration Kit 20,Diagnostic Kits,low,inventory,7,2026-07-22,2025-06-25,,
H002,Green Valley,P021,PCR Panel 21,Diagnostic Kits,high,inventory,42,2026-08-26,2025-04-12,,
H002,Green Valley,P022,Sample Prep Kit 22,Diagnostic Kits,high,inventory,22,2026-07-10,2024-12-17,,
H002,Green Valley,P023,Reagent Cartridge 23,Diagnostic Kits,medium,inventory,19,2025-12-27,2025-02-04,,
H002,Green Valley,P024,RNA Extraction Kit 24,Diagnostic Kits,high,inventory,2,2026-10-22,2025-02-09,,
H002,Green Valley,P025,Control Kit 25,Diagnostic Kits,medium,inventory,33,2026-09-02,2025-05-17,,
H002,Green Valley,P026,PCR Panel 26,Diagnostic Kits,medium,inventory,6,2026-01-04,2025-08-15,,
H002,Green Valley,P027,Sample Prep Kit 27,Diagnostic Kits,high,inventory,43,2026-03-25,2025-02-25,,
H002,Green Valley,P028,RNA Extraction Kit 28,Diagnostic Kits,high,inventory,22,2026-03-25,2025-07-14,,
H002,Green Valley,P029,Sample Prep Kit 29,Diagnostic Kits,medium,inventory,9,2026-01-26,2025-01-01,,
H002,Green Valley,P030,Calibration Kit 30,Diagnostic Kits,high,inventory,17,2026-07-25,2025-06-17,,
H002,Green Valley,P031,Rapid Test 31,Diagnostic Kits,medium,inventory,40,2026-02-05,2025-07-14,,
H002,Green Valley,P032,RNA Extraction Kit 32,Diagnostic Kits,low,inventory,5,2026-07-01,2025-05-13,,
H002,Green Valley,P033,Molecular Assay 33,Diagnostic Kits,high,inventory,46,2026-07-20,2025-08-17,,
H002,Green Valley,P034,PCR Panel 34,Diagnostic Kits,medium,inventory,42,2026-10-07,2025-07-02,,
H002,Green Valley,P035,RNA Extraction Kit 35,Diagnostic Kits,high,inventory,13,2026-05-20,2024-12-07,,
H002,Green Valley,P036,PCR Panel 36,Diagnostic Kits,low,inventory,23,2026-05-10,2024-12-05,,
H002,Green Valley,P037,Control Kit 37,Diagnostic Kits,low,inventory,29,2026-02-15,2025-06-02,,
H002,Green Valley,P038,Molecular Assay 38,Diagnostic Kits,high,inventory,14,2026-01-10,2025-06-13,,
H002,Green Valley,P039,Calibration Kit 39,Diagnostic Kits,medium,inventory,21,2026-09-17,2025-03-26,,
H002,Green Valley,P040,Rapid Test 40,Diagnostic Kits,high,inventory,46,2026-01-12,2025-07-10,,
H002,Green Valley,P041,Rapid Test 41,Diagnostic Kits,high,inventory,12,2026-02-03,2025-05-31,,
H002,Green Valley,P042,Control Kit 42,Diagnostic Kits,high,inventory,46,2026-11-11,2024-12-31,,
H002,Green Valley,P043,Rapid Test 43,Diagnostic Kits,high,inventory,41,2026-10-06,2025-01-27,,
H002,Green Valley,P044,PCR Panel 44,Diagnostic Kits,low,inventory,16,2026-08-08,2025-05-04,,
H002,Green Valley,P045,Control Kit 45,Diagnostic Kits,high,inventory,29,2026-05-18,2025-02-24,,
H002,Green Valley,P046,Control Kit 46,Diagnostic Kits,high,inventory,4,2026-06-15,2025-04-12,,
H002,Green Valley,P047,Molecular Assay 47,Diagnostic Kits,high,inventory,38,2026-07-20,2025-03-07,,
H002,Green Valley,P048,Calibration Kit 48,Diagnostic Kits,medium,inventory,46,2026-08-09,2025-04-02,,
H002,Green Valley,P049,Reagent Cartridge 49,Diagnostic Kits,high,inventory,18,2026-05-11,2025-05-11,,
H002,Green Valley,P050,Calibration Kit 50,Diagnostic Kits,low,inventory,40,2026-02-16,2024-12-14,,
H003,St. Mary,P001,RNA Extraction Kit 1,Diagnostic Kits,high,inventory,11,2026-10-13,2025-03-23,,
H003,St. Mary,P002,Reagent Cartridge 2,Diagnostic Kits,medium,inventory,31,2026-05-26,2025-01-19,,
H003,St. Mary,P003,Sample Prep Kit 3,Diagnostic Kits,medium,inventory,31,2026-10-25,2025-03-18,,
H003,St. Mary,P004,Molecular Assay 4,Diagnostic Kits,low,inventory,10,2026-09-22,2025-08-10,,
H003,St. Mary,P005,Reagent Cartridge 5,Diagnostic Kits,high,inventory,16,2026-04-07,2025-07-15,,
H003,St. Mary,P006,Control Kit 6,Diagnostic Kits,high,inventory,2,2026-01-10,2025-06-14,,
H003,St. Mary,P007,Reagent Cartridge 7,Diagnostic Kits,high,inventory,14,2026-08-21,2025-03-23,,
H003,St. Mary,P008,Rapid Test 8,Diagnostic Kits,medium,inventory,5,2026-04-16,2025-03-06,,
H003,St. Mary,P009,RNA Extraction Kit 9,Diagnostic Kits,high,inventory,8,2026-09-27,2025-04-03,,
H003,St. Mary,P010,Sample Prep Kit 10,Diagnostic Kits,high,inventory,36,2026-08-23,2025-05-19,,
H003,St. Mary,P011,Control Kit 11,Diagnostic Kits,medium,inventory,34,2026-01-12,2025-07-24,,
H003,St. Mary,P012,Rapid Test 12,Diagnostic Kits,medium,inventory,8,2026-08-04,2025-04-26,,
H003,St. Mary,P013,RNA Extraction Kit 13,Diagnostic Kits,low,inventory,46,2026-11-25,2025-02-28,,
H003,St. Mary,P014,Molecular Assay 14,Diagnostic Kits,high,inventory,40,2026-11-15,2025-05-25,,
H003,St. Mary,P015,Rapid Test 15,Diagnostic Kits,high,inventory,27,2026-10-07,2025-07-09,,
H003,St. Mary,P016,Sample Prep Kit 16,Diagnostic Kits,medium,inventory,17,2026-03-14,2025-08-20,,
H003,St. Mary,P017,Control Kit 17,Diagnostic Kits,medium,inventory,49,2026-11-25,2025-06-18,,
H003,St. Mary,P018,Reagent Cartridge 18,Diagnostic Kits,medium,inventory,21,2026-03-21,2025-04-11,,
H003,St. Mary,P019,Sample Prep Kit 19,Diagnostic Kits,low,inventory,36,2026-01-07,2025-07-23,,
H003,St. Mary,P020,Calibration Kit 20,Diagnostic Kits,low,inventory,44,2026-11-02,2024-11-30,,
H003,St. Mary,P021,PCR Panel 21,Diagnostic Kits,high,inventory,8,2026-05-25,2025-06-12,,
H003,St. Mary,P022,Sample Prep Kit 22,Diagnostic Kits,high,inventory,45,2026-08-12,2025-07-03,,
H003,St. Mary,P023,Reagent Cartridge 23,Diagnostic Kits,medium,inventory,49,2026-04-20,2025-03-12,,
H003,St. Mary,P024,RNA Extraction Kit 24,Diagnostic Kits,high,inventory,4,2026-01-20,2025-06-12,,
H003,St. Mary,P025,Control Kit 25,Diagnostic Kits,medium,inventory,45,2026-11-13,2025-03-11,,
H003,St. Mary,P026,PCR Panel 26,Diagnostic Kits,medium,inventory,47,2026-08-18,2025-03-26,,
H003,St. Mary,P027,Sample Prep Kit 27,Diagnostic Kits,high,inventory,35,2026-08-03,2024-12-20,,
H003,St. Mary,P028,RNA Extraction Kit 28,Diagnostic Kits,high,inventory,30,2026-08-24,2025-02-16,,
H003,St. Mary,P029,Sample Prep Kit 29,Diagnostic Kits,medium,inventory,6,2026-09-06,2025-08-22,,
H003,St. Mary,P030,Calibration Kit 30,Diagnostic Kits,high,inventory,34,2026-10-20,2025-08-18,,
H003,St. Mary,P031,Rapid Test 31,Diagnostic Kits,medium,inventory,32,2026-06-21,2025-06-11,,
H003,St. Mary,P032,RNA Extraction Kit 32,Diagnostic Kits,low,inventory,15,2026-09-28,2025-02-15,,
H003,St. Mary,P033,Molecular Assay 33,Diagnostic Kits,high,inventory,8,2026-07-08,2025-08-27,,
H003,St. Mary,P034,PCR Panel 34,Diagnostic Kits,medium,inventory,5,2026-08-12,2025-03-21,,
H003,St. Mary,P035,RNA Extraction Kit 35,Diagnostic Kits,high,inventory,28,2026-05-27,2025-04-14,,
H003,St. Mary,P036,PCR Panel 36,Diagnostic Kits,low,inventory,16,2026-09-23,2024-12-17,,
H003,St. Mary,P037,Control Kit 37,Diagnostic Kits,low,inventory,45,2026-04-04,2025-08-03,,
H003,St. Mary,P038,Molecular Assay 38,Diagnostic Kits,high,inventory,13,2026-02-19,2025-07-21,,
H003,St. Mary,P039,Calibration Kit 39,Diagnostic Kits,medium,inventory,37,2026-06-24,2025-04-06,,
H003,St. Mary,P040,Rapid Test 40,Diagnostic Kits,high,inventory,20,2026-01-23,2024-12-08,,
H003,St. Mary,P041,Rapid Test 41,Diagnostic Kits,high,inventory,28,2026-04-02,2025-06-11,,
H003,St. Mary,P042,Control Kit 42,Diagnostic Kits,high,inventory,30,2026-04-04,2025-03-08,,
H003,St. Mary,P043,Rapid Test 43,Diagnostic Kits,high,inventory,47,2026-10-01,2025-01-21,,
H003,St. Mary,P044,PCR Panel 44,Diagnostic Kits,low,inventory,46,2026-10-17,2025-08-14,,
H003,St. Mary,P045,Control Kit 45,Diagnostic Kits,high,inventory,29,2026-11-06,2025-03-10,,
H003,St. Mary,P046,Control Kit 46,Diagnostic Kits,high,inventory,24,2026-04-15,2025-01-06,,
H003,St. Mary,P047,Molecular Assay 47,Diagnostic Kits,high,inventory,6,2026-06-08,2025-08-10,,
H003,St. Mary,P048,Calibration Kit 48,Diagnostic Kits,medium,inventory,27,2026-01-10,2025-05-20,,
H003,St. Mary,P049,Reagent Cartridge 49,Diagnostic Kits,high,inventory,10,2025-12-26,2025-08-04,,
H003,St. Mary,P050,Calibration Kit 50,Diagnostic Kits,low,inventory,36,2026-02-19,2025-01-12,,
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-05-30,3
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-06-06,1
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-06-13,2
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-06-20,2
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-06-27,1
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-07-04,2
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-07-11,1
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-07-18,1
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-07-25,2
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-08-01,2
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-08-08,1
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-08-15,1
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-08-22,2
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-08-29,1
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-09-05,1
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-09-12,2
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-09-19,2
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-09-26,2
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-10-03,1
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-10-10,2
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-10-17,2
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-10-24,2
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-10-31,2
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-11-07,2
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-11-14,1
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,movement,,,,2025-11-21,1
H001,City Hospital,P002,Reagent Cartridge 2,Diagnostic Kits,medium,movement,,,,2025-06-06,1
H001,City Hospital,P002,Reagent Cartridge 2,Diagnostic Kits,medium,movement,,,,2025-06-13,1
H001,City Hospital,P002,Reagent Cartridge 2,Diagnostic Kits,medium,movement,,,,2025-06-20,1
H001,City Hospital,P002,Reagent Cartridge 2,Diagnostic Kits,medium,movement,,,,2025-07-04,1
H001,City Hospital,P002,Reagent Cartridge 2,Diagnostic Kits,medium,movement,,,,2025-07-25,1
H001,City Hospital,P002,Reagent Cartridge 2,Diagnostic Kits,medium,movement,,,,2025-08-15,1
H001,City Hospital,P002,Reagent Cartridge 2,Diagnostic Kits,medium,movement,,,,2025-09-05,1
H001,City Hospital,P002,Reagent Cartridge 2,Diagnostic Kits,medium,movement,,,,2025-09-12,1
H001,City Hospital,P002,Reagent Cartridge 2,Diagnostic Kits,medium,movement,,,,2025-09-26,1
H001,City Hospital,P002,Reagent Cartridge 2,Diagnostic Kits,medium,movement,,,,2025-10-03,1
H001,City Hospital,P002,Reagent Cartridge 2,Diagnostic Kits,medium,movement,,,,2025-10-17,1
H001,City Hospital,P002,Reagent Cartridge 2,Diagnostic Kits,medium,movement,,,,2025-10-24,1
H001,City Hospital,P002,Reagent Cartridge 2,Diagnostic Kits,medium,movement,,,,2025-11-07,1
H001,City Hospital,P002,Reagent Cartridge 2,Diagnostic Kits,medium,movement,,,,2025-11-14,1
H001,City Hospital,P003,Sample Prep Kit 3,Diagnostic Kits,medium,movement,,,,2025-05-30,1
H001,City Hospital,P003,Sample Prep Kit 3,Diagnostic Kits,medium,movement,,,,2025-07-11,1
H001,City Hospital,P003,Sample Prep Kit 3,Diagnostic Kits,medium,movement,,,,2025-07-25,1
H001,City Hospital,P003,Sample Prep Kit 3,Diagnostic Kits,medium,movement,,,,2025-08-01,1
H001,City Hospital,P003,Sample Prep Kit 3,Diagnostic Kits,medium,movement,,,,2025-08-15,1
H001,City Hospital,P003,Sample Prep Kit 3,Diagnostic Kits,medium,movement,,,,2025-08-22,1
H001,City Hospital,P003,Sample Prep Kit 3,Diagnostic Kits,medium,movement,,,,2025-09-19,1
H001,City Hospital,P003,Sample Prep Kit 3,Diagnostic Kits,medium,movement,,,,2025-10-10,1
H001,City Hospital,P003,Sample Prep Kit 3,Diagnostic Kits,medium,movement,,,,2025-10-17,1
H001,City Hospital,P003,Sample Prep Kit 3,Diagnostic Kits,medium,movement,,,,2025-10-24,1
H001,City Hospital,P003,Sample Prep Kit 3,Diagnostic Kits,medium,movement,,,,2025-10-31,1
H001,City Hospital,P003,Sample Prep Kit 3,Diagnostic Kits,medium,movement,,,,2025-11-07,1
H001,City Hospital,P003,Sample Prep Kit 3,Diagnostic Kits,medium,movement,,,,2025-11-21,1
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-05-30,4
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-06-06,4
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-06-13,4
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-06-20,4
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-06-27,4
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-07-04,4
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-07-11,5
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-07-18,4
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-07-25,4
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-08-01,5
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-08-08,4
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-08-15,4
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-08-22,4
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-08-29,5
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-09-05,4
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-09-12,4
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-09-19,4
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-09-26,6
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-10-03,5
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-10-10,5
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-10-17,5
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-10-24,3
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-10-31,5
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-11-07,5
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-11-14,5
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,movement,,,,2025-11-21,4
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-05-30,3
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-06-06,4
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-06-13,3
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-06-20,4
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-06-27,3
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-07-04,4
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-07-11,4
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-07-18,3
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-07-25,4
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-08-01,3
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-08-08,4
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-08-15,4
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-08-22,3
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-08-29,4
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-09-05,4
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-09-12,3
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-09-19,3
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-09-26,3
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-10-03,5
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-10-10,4
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-10-17,4
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-10-24,3
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-10-31,3
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-11-07,4
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-11-14,4
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,movement,,,,2025-11-21,4
